TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
Classe;44.395.545/0001-10;CONDOCONTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.590/0001-74;ELITE FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - NÃO PADRONIZADOS;2025-06-30;77921926.43;0.00;4410293.04;0.00;0.00;675825.15;610980.26;0.00;0.00;77921926.43;0.00;4410293.04;0.00;0.00;675825.15;610980.26;0.00;0.00;0.00
Classe;44.395.626/0001-10;SOLAR II FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.637/0001-08;CM FEDERAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO PADRONIZADOS;2025-06-30;45438744.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30537.24;45438744.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30537.24;0.00
Classe;44.395.657/0001-70;CM ESTADUAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO PADRONIZADOS;2025-06-30;25441095.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25441095.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.414.972/0001-06;TECNOMOTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;0.00;10389163.60;211643.10;217970.90;316732.70;269904.30;159487.00;218002.80;984468.00;0.00;10389163.60;211643.10;217970.90;316732.70;269904.30;159487.00;218002.80;984468.00;0.00
Classe;44.415.022/0001-98;QUARTZO ALPHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO - PADRONIZADOS;2025-06-30;0.00;29048585.10;16667.10;1246.40;4796201.60;0.00;0.00;0.00;0.00;0.00;29048585.10;16667.10;1246.40;4796201.60;0.00;0.00;0.00;0.00;0.00
Classe;44.415.066/0001-18;MENESTYS III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.465.412/0001-72;HIKARI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;0.00;14725380.60;0.00;372954.80;14160.60;22126.20;12378.40;5258.10;31195.10;0.00;14725380.60;0.00;372954.80;14160.60;22126.20;12378.40;5258.10;31195.10;0.00
Classe;44.465.521/0001-90;IPÊ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
