TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
Classe;11.468.186/0001-24;ATLANTA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;2727724524.77;2713778653.95
Classe;11.468.192/0001-81;DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2025-06-30;273228668.53;275213861.44
Classe;11.489.344/0001-22;RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA;2025-06-30;959829993.95;942235867.32
Classe;11.491.061/0001-15;DANIELE II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;47608423.56;48972891.06
Classe;11.507.489/0001-09;BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;302524223.92;296926730.96
Classe;11.629.795/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-06-30;13703790.27;12717603.23
Classe;11.675.457/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER;2025-06-30;1873725.03;1717108.09
Classe;11.693.671/0001-00;R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;253722018.23;250924991.06
Classe;11.701.985/0001-07;VALORA GUARDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;421747581.82;395681899.13
Classe;11.812.962/0001-61;BERLANDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO ECONÔMICO FINANCEIRO;2025-06-30;164166387.29;158910836.65
Classe;11.813.230/0001-96;MA MÁQUINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO DO AGRONEGÓCIO;2025-06-30;15334552.16;15061508.48
Classe;11.823.118/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA;2025-06-30;73377894.73;73621276.71
Classe;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;-4370491.34;-4368977.78
Classe;11.888.461/0001-69;ITU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;570421403.78;570429783.01
Classe;11.902.354/0001-48;FM1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-  RESPONSABILIDADE LIMITADA;2025-06-30;-4994942.33;-4993454.67
Classe;11.989.256/0001-90;FIDC MULTISETORIAL MASTER II;2025-06-30;1784913.01;1384925.18
Classe;12.036.226/0001-21;SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;38780977.56;37722453.40
